"Product","BoM Lines/Component","BoM Lines/Quantity"
"","[A605] 6x6 ACCESSORY","1.0"
"","[A609] LARGE 4-LINK BARS","2.0"
"","[A304] 90mm SHOCKS KIT","3.0"
"","[A503] 10-58 GEAR SET","1.0"
"","[L102B] 5000 RPM MOTOR WITH WIRE","1.0"
"","[A401] HS-485HB SERVO (With Hardware)","2.0"
"","[A301] 6x6 TOOLS AND FASTENERS","1.0"
"","[A504] 320A BRUSHED ESC","1.0"
"","[B405] NIMH BATTERY","1.0"
"","[A506] LIPO / NIMH CHARGER","1.0"
"","[A505] TAMIYA CHARGER ADAPTER","1.0"
"","[i503] SUPPORT ARM","16.0"
"","[F304] SERVO Y-HARNESS W/REVERSER","1.0"
"","[E403] 6x6 INSTRUCTIONS","1.0"
"[C402] 6x6 BAG 2: BEAMS 2","[J302] 12-BEAM","32.0"
"","[J404] 9-BEAM","20.0"
"[C403] 6x6 BAG 3: TRANSITIONS","[J501] TRANSITION","35.0"
"","[J601] DUAL TRANSITION","16.0"
"","[i401] 2-45 BEAM","4.0"
"","[i402] 3-45 BEAM","12.0"
"","[i302] 8-45 BEAM","4.0"
"[C404] 6x6 BAG 4: CONNECTORS 1","[H504] 3-LOCK","69.0"
"","[H605] 3-ROTATE","25.0"
"","[H405] 3-PIN","94.0"
"[C405] 6x6 BAG 5: CONNECTORS 2","[H404] 2-PIN","147.0"
"","[H503] 2-LOCK","130.0"
"","[H604] 2-ROTATE","17.0"
"","[H403] 1.5-PIN","25.0"
"","[H603] 1.5-LOCK","25.0"
"[A701] MOTOR GEARBOX","[J701] MOTOR CASE A","1.0"
"","[J702] MOTOR CASE B","1.0"
"","[J703] BATTERY CAP","2.0"
"","[G603] #4-40 3/4"" SCREW","5.0"
"","[G507] #4 WASHER","5.0"
"","[G608] M3x6mm SCREW","3.0"
"","[G506] M3 WASHER","3.0"
"","[G606] #4-40 3/8"" SCREW","4.0"
"","[G503] #4-40 1/4"" NUT","8.0"
"","[G301] 6x12x4mm BEARING","2.0"
"","[F405] MOTOR SHAFT","1.0"
