"Status","Order Reference","Creation Date","Customer/ID","Customer","Order Lines/Product/ID","Order Lines/Product","Order Lines/Quantity","Order Lines/Delivered Quantity","Order Lines/Unit Price","Total"
"","","","","","","","0.0","0.0","0.0",""
"","","","","","__export__.product_product_491_48364231","Shipping","1.0","0.0","13.09",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00047","2022-02-02 14:11:24","__export__.res_partner_165_04559491","Vista Del Lago High School, David Susuras","__export__.product_product_427_40183198","COMPETITION KIT 4x4","8.0","0.0","1004.5","8036.0"
"Sales Order","S00046","2022-02-02 13:37:55","__export__.res_partner_161_3ac6d42d","River High School, Mark Romick","__export__.product_product_1_c386ce79","[MCK-UALB-MR2] UAV DRONE LAB","3.0","0.0","2100.0","33999.0"
"","","","","","__export__.product_product_447_5c01088f","[CPK-UAM2-001] COMPETITION KIT UAV","18.0","0.0","840.0",""
"","","","","","__export__.product_product_418_944cfd4e","[MCK-DRGY-001] UAV DRONE GIMBAL RIG","3.0","0.0","1750.0",""
"","","","","","__export__.product_product_564_e258bf62","[CPK-DRCG-PVC] PVC CAGE","3.0","0.0","1746.5",""
"","","","","","__export__.product_product_482_c5a75e83","[MIC-MUL-100] WEB BASED CURRICULUM ANNUAL SUBSCRIPTION FOR THREE OR MORE PRODUCTS","3.0","0.0","696.5",""
"Sales Order","S00045","2022-02-02 11:33:39","__export__.res_partner_159_d092c4c2","Wyoming County Career & Technical Center, Richard Morgan","__export__.product_product_447_5c01088f","[CPK-UAM2-001] COMPETITION KIT UAV","1.0","0.0","840.0","1355.37"
"","","","","","__export__.product_product_563_dd768755","[CPK-FLDE-001] PVC FIELD ELEMENTS","1.0","1.0","419.3",""
"","","","","","__export__.product_product_491_48364231","Shipping","1.0","0.0","28.95",""
"","","","","","__export__.product_product_491_48364231","Shipping","1.0","0.0","67.12",""
"","","","","","","","0.0","0.0","0.0",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00044","2022-02-02 11:02:42","__export__.res_partner_156_40f36ce5","Carrol University, Mike Mortensen","__export__.product_product_447_5c01088f","[CPK-UAM2-001] COMPETITION KIT UAV","12.0","12.0","400.0","5000.0"
"","","","","","__export__.product_product_562_a40d8c38","CAGE RENTAL","1.0","0.0","200.0",""
"","","","","","","","0.0","0.0","0.0",""
"","","","","","__export__.product_product_491_48364231","Shipping","0.0","0.0","1.0",""
"","","","","","__export__.product_product_559_52a76093","Tracking","0.0","0.0","1.0",""
"Sales Order","S00033","2021-11-19 14:31:05","__export__.res_partner_122_9749a40d","Orange Vista High School","__export__.product_product_424_ec34919b","[CPK-DRCG-003] LARGE DRONE CAGE SYSTEM","1.0","1.0","13125.0","13125.0"
"Sales Order","S00043","2022-01-07 11:56:12","__export__.res_partner_152_0c86e290","North Idaho Stem Charter Academy, Scott Thompson","__export__.product_product_397_156914b4","4x4","4.0","0.0","1.0","10.0"
"","","","","","__export__.product_product_560_cdfcf69a","SERVO LINKAGE KIT","4.0","0.0","1.0",""
"","","","","","__export__.product_product_561_567d3a76","Four Wheel Steering Upgrade Module for 4x4 Robot Kits","2.0","0.0","1.0",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00042","2022-01-05 13:45:19","__export__.res_partner_148_4b5968eb","School District of Augusta, Ryan Nelson","__export__.product_product_432_698c46a5","[MCK-FDTR-001] FOUNDATIONS TEACHERS' RESOURCE","1.0","1.0","759.5","13798.28"
"","","","","","__export__.product_product_631_b1660bf6","1 Year Course-Foundations+Drones Lab UGV+UAV (Duplicate Parts Eliminated) w180 Curriculum Hours","0.0","2.0","1.0",""
"","","","","","__export__.product_product_632_603984ca","Web based curriculum annual subscription for a single product","0.0","1.0","1.0",""
"","","","","","__export__.product_product_403_6fd346dc","[PTT-ARD2-001] ARDUINO ROBOT","4.0","4.0","279.3",""
"","","","","","__export__.product_product_418_944cfd4e","[MCK-DRGY-001] UAV DRONE GIMBAL RIG","1.0","1.0","1750.0",""
"","","","","","__export__.product_product_410_01079032","[MCK-1YLB-MR2] ONE YEAR LAB","2.0","0.0","4672.5",""
"","","","","","__export__.product_product_481_d737f17f","[MIC-SUL-100] WEB BASED CURRIULUM ANNUAL SUBSCRIPTION FOR ONE PRODUCT","1.0","0.0","556.5",""
"","","","","","__export__.product_product_491_48364231","Shipping","1.0","0.0","270.08",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00041","2021-12-14 14:30:02","__export__.res_partner_142_3bc85f8e","LAB Midwest, Eddie Johnson","__export__.product_product_383_1c3e2d45","[MCK-ECLB-2WD] ELECTRIC CAR LAB","1.0","1.0","450.0","463.1"
"","","","","","__export__.product_product_491_48364231","Shipping","1.0","0.0","13.1",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00040","2021-12-08 13:45:14","__export__.res_partner_94_b1df1458","Manny Parras","__export__.product_product_1_c386ce79","[MCK-UALB-MR2] UAV DRONE LAB","1.0","1.0","2100.0","2147.97"
"","","","","","__export__.product_product_491_48364231","Shipping","1.0","0.0","47.97",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00039","2021-12-02 16:00:42","__export__.res_partner_134_3a2d0c2a","Columbia Basin Tech Skills Center","__export__.product_product_346_5ef4c8bc","6x6 (Super Rover Kit)","18.0","18.0","770.0","20981.32"
"","","","","","__export__.product_product_373_51653d92","ARDUINO UPGRADE","18.0","18.0","273.0",""
"","","","","","__export__.product_product_519_20cf4340","6x6 DUAL MOTOR GEARBOX","18.0","0.0","101.5",""
"","","","","","__export__.product_product_578_c9091447","DUAL MOTOR Upgrade Module for Super Rover Kit ","0.0","18.0","1.0",""
"","","","","","__export__.product_product_491_48364231","Shipping","18.0","0.0","15.82",""
"","","","","","","","0.0","0.0","0.0",""
"","","","","","","","0.0","0.0","0.0",""
"","","","","","__export__.product_product_491_48364231","Shipping","1.0","0.0","95.56",""
"","","","","","","","0.0","0.0","0.0",""
"Sales Order","S00038","2021-12-02 15:38:11","__export__.res_partner_132_8cf6d1a2","Atlanta Area School for the Deaf, Angelia Matthews","__export__.product_product_383_1c3e2d45","[MCK-ECLB-2WD] ELECTRIC CAR LAB","2.0","2.0","420.0","885.76"
"","","","","","","","0.0","0.0","0.0",""
"","","","","","__export__.product_product_491_48364231","Shipping","1.0","0.0","45.76",""
"Sales Order","S00037","2021-12-02 14:37:42","__export__.res_partner_111_9b6d2a92","Killeen ISD Distribution Center","__export__.product_product_396_c5501cd7","[MCK-FDLB-4X4] FOUNDATIONS LAB 4x4 (90 Hour)","12.0","12.0","1987.5","27425.97"
